,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,stance_duration
165,,,,,,,,,,0.5991319213250677,-2.8858377828629544,-0.004381694984397166,-0.7524740816366773,0.3927635424064704,1.4204969309797093,-3.637978807091713e-12
166,NotAtaxic,Switch,SwitchLeft01,S4,Washout,84,4,19,0.13646597814079087,,,,,,,
167,,,,,,,,,,0.5693377870501877,-0.8613556736350843,-0.00010922828913023652,-0.34860938486423265,-0.01821806936561643,0.6926719588462902,-3.03030303030755
168,NotAtaxic,Switch,SwitchLeft01,S5,Baseline,85,0,12,0.5643131757022957,,,,,,,
169,,,,,,,,,,0.6249186968562697,-0.9956957611419863,-0.006526507254068947,1.0832353071732825,0.8813646104600252,0.16253692935217146,-3.637978807091713e-12
170,NotAtaxic,Switch,SwitchLeft01,S5,Baseline,86,1,13,0.07845175386675862,,,,,,,
171,,,,,,,,,,0.2326522210631765,1.2903012717927238,-0.0037015597574270587,0.9936862521701357,0.32637239706630794,-0.3351327144738434,-3.637978807091713e-12
172,NotAtaxic,Switch,SwitchLeft01,S5,Baseline,87,2,14,0.25415902185923755,,,,,,,
173,,,,,,,,,,0.08878033570572086,-0.6248558707182523,-0.003706644686505167,-0.1594620521622403,0.20236005686743397,-0.2331203884548927,-1.0913936421275139e-11
174,NotAtaxic,Switch,SwitchLeft01,S5,Split,88,0,16,-4.24990413164852,,,,,,,
175,,,,,,,,,,-1.6647801254734844,8.206868440709517,-0.13743058153435134,12.08301120334204,5.526469452212481,-9.72444746229381,-24.242424242434936
176,NotAtaxic,Switch,SwitchLeft01,S5,Intersplit,89,0,36,0.2896626790364252,,,,,,,
177,,,,,,,,,,0.2776039971245794,0.48116573463580625,-0.0012051031783186644,-0.015605579722986818,-0.14681382612754135,0.06821757615215063,-3.637978807091713e-12
178,NotAtaxic,Switch,SwitchLeft01,S5,Intersplit,90,1,37,0.6636571402501232,,,,,,,
179,,,,,,,,,,0.3613481617937424,0.3580294610042891,-0.0001043068309635603,-0.15708075629339646,0.7172073980773916,0.3560249251548697,3.0303030303002743
180,NotAtaxic,Switch,SwitchLeft01,S5,Intersplit,91,2,38,0.1983334319760104,,,,,,,
181,,,,,,,,,,0.24861615113540836,-0.14718363575810312,-0.0035957950216740087,-0.22826531920767934,0.29411315917963066,0.007409760446250857,3.0303030302929983
182,NotAtaxic,Switch,SwitchLeft01,S5,Split,92,1,17,-2.7613167810921624,,,,,,,
183,,,,,,,,,,-1.5628727999600542,5.729848698677187,-0.13764381346567967,10.809588191485204,5.3014389192214395,-9.223845510771767,-27.272727272731117
184,NotAtaxic,Switch,SwitchLeft01,S5,Intersplit,93,3,39,-0.6934580176767895,,,,,,,
185,,,,,,,,,,0.2705737797901122,-0.09883150748458558,-0.0010227437827425856,-0.564266936947547,0.22168400311704772,0.17272101508248738,3.0303030302966363
186,NotAtaxic,Switch,SwitchLeft01,S5,Intersplit,94,4,40,0.7691970979324196,,,,,,,
187,,,,,,,,,,0.40400148642184774,0.8178659208407497,-0.0007575405792556444,0.0451752633759952,0.5160476222181956,0.4574669731987626,-3.637978807091713e-12
188,NotAtaxic,Switch,SwitchLeft01,S5,Intersplit,95,5,41,0.21132652205648128,,,,,,,
189,,,,,,,,,,0.16614740545099238,-0.23949127686732563,0.0008699847765367696,-0.8679014263730949,-0.08769950481384114,0.21905590789488372,0.0
