,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Asym
273,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,127,126,55,1.9595830127446519
274,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,128,127,56,0.4022463403567187
275,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,129,128,57,-0.6471576112688879
276,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,130,129,58,0.8032134084990403
277,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,131,130,59,1.4467952227351972
278,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,132,131,60,-0.22441208964645654
279,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,133,132,61,-1.2636358087713049
280,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,134,133,62,-0.7587625522805936
281,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,135,134,63,1.901738330571355
282,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,136,135,64,-0.8455604013770497
283,NotAtaxic,NoSwitch,NoSwitchLeft03,S7,Washout,137,136,65,-1.0356710414693922
