,Phenotype,Protocol,Animal,Session,Phase,Trial,Num,Cnum,Perc,Asym,coo,double_support,stance_speed,swing_length,coo_stance,coo_swing,duty_factor,stance_duration
10078,NotAtaxic,Switch,Switch05,S3,Washout,63,10,32,8,0.1241279370856887,-0.5189044182133529,-2.407996365288506,-0.008076413814884609,5.904812282986114,-1.1989516441268222,-0.4027721857783888,-4.24480597809319,6.0606060606151
10079,NotAtaxic,Switch,Switch05,S3,Washout,63,10,32,9,-3.0774126149187566,-1.5356346133721956,1.0620915032679745,-0.0037024835455672367,4.8891934481534065,-2.864298194345878,-1.8339900858073008,0.049583051607278605,6.0606060606078245
10080,NotAtaxic,Switch,Switch05,S4,Baseline,64,0,9,0,-2.873168328795785,-2.0104804947861368,7.488016582458869,0.020311029640180805,4.869110415680225,0.311506396592236,-0.5566692111467972,2.050025138255144,12.121212121212011
10081,NotAtaxic,Switch,Switch05,S4,Baseline,64,0,9,1,-3.0843484281289477,0.008165302326858637,-1.5384615384615385,-0.010035228620271341,12.19548697423454,-2.314134077592371,1.7956436282456707,-8.237402487882413,-3.0303030303057312
10082,NotAtaxic,Switch,Switch05,S4,Baseline,64,0,9,2,-1.4921169088344755,0.24206344108594635,-3.571428571428571,-0.010872540871137704,9.289812800860204,1.1736667517459693,0.38475665179163343,-6.155103066874098,-12.121212121212011
10083,NotAtaxic,Switch,Switch05,S4,Baseline,64,0,9,3,-2.1833246404474664,-1.8470622595853285,-0.435729847494553,-0.002785941156327243,6.912077316130052,-0.06866069755173498,-3.7366557602930754,-4.244857327038879,-12.121212121219287
10084,NotAtaxic,Switch,Switch05,S4,Baseline,64,0,9,4,-1.648881700303832,-1.1263792484435982,-2.5597749648382564,-0.0001704025732571779,11.090118716461461,-1.1284876351404307,-2.4806565708584287,-4.472713129763314,18.181818181819835
10085,NotAtaxic,Switch,Switch05,S4,Baseline,64,0,9,5,-7.1471474387429055,-1.2092207940880684,-0.7123604158644592,0.006716923603067387,12.972182456893137,-0.7625155978732607,-1.357296781507813,-7.836475615892301,12.12121212121383
10086,NotAtaxic,Switch,Switch05,S4,Baseline,64,0,9,6,2.546468407216679,-0.4276394163457624,1.8518518518518516,0.004405785841475551,3.114411325165719,1.0176379271227631,-0.3267140581150443,-1.418144623017092,-7.275957614183426e-12
10087,NotAtaxic,Switch,Switch05,S4,Baseline,64,0,9,7,-9.465389059047524,-1.9258317122294457,6.7234871156439775,0.012945012043466583,11.959692444464196,-1.0871039496528283,-2.5840372750253664,-10.969067423050742,19.696969696979068
10088,NotAtaxic,Switch,Switch05,S4,Baseline,64,0,9,8,-4.187574290265985,-1.1668747645174733,0.0,-0.0058646548136988,3.892532502762009,-1.1312889330314704,0.5942378622112869,3.2679738562015572,3.0303030302966363
10089,NotAtaxic,Switch,Switch05,S4,Baseline,64,0,9,9,-11.434320006707708,-0.38512649376981045,-8.125205991137802,0.008496404971690089,7.527198406180958,-3.0160865398368912,2.627293148426105,-4.066754907098165,9.090909090908099
10090,NotAtaxic,Switch,Switch05,S4,Baseline,65,1,10,0,0.045175263375924146,-0.19009552035461752,3.051948051948052,0.008967875535108027,16.774873059205348,-2.6095794908928127,0.9176518780615055,-4.591000502770342,-6.821210263296962e-13
10091,NotAtaxic,Switch,Switch05,S4,Baseline,65,1,10,1,2.0279161857835675,1.512452997970712,0.2645502645502642,-0.004845369877949424,2.101273970170439,1.6009359648733437,0.6420541291285247,-6.970121381891218,-24.242424242424022
10092,NotAtaxic,Switch,Switch05,S4,Baseline,65,1,10,2,-1.578113286182159,-2.0451380068344207,3.2747424988804292,-0.015269187906507525,-0.009910506431495492,-1.0812210314201849,-1.9236476734430994,-4.501523283213164,9.094947017729282e-13
10093,NotAtaxic,Switch,Switch05,S4,Baseline,65,1,10,3,-0.7956687850181652,0.6188400028505257,-2.5081071855265407,0.013475474418171512,-1.0468537385041259,0.6524269026938896,0.6115230647000658,-11.668670082235234,-6.0606060606060055
10094,NotAtaxic,Switch,Switch05,S4,Baseline,65,1,10,4,-7.1795530993529155,-0.7905672898737564,2.058823529411765,0.0018838665375212615,9.422498760801368,0.11248251404420273,-2.652079529232438,-6.488706245301138,-1.8189894035458565e-12
10095,NotAtaxic,Switch,Switch05,S4,Baseline,65,1,10,5,1.0667974298650336,-0.02033474888256137,3.442622950819672,0.006150690615713272,6.021303119081409,-0.8286447236031904,1.8911093172400797,-11.029720064131418,-6.0606060606005485
10096,NotAtaxic,Switch,Switch05,S4,Baseline,65,1,10,6,-0.6206396854285288,0.021476645086394797,-1.2131028412347478,0.012763458347202425,7.001135726569061,-2.849332250729958,3.070311233250777,-7.736515782746572,4.54545454545223
10097,NotAtaxic,Switch,Switch05,S4,Baseline,65,1,10,7,-4.697418212890597,-1.375120629539751,0.5401234567901252,-0.012842308168900973,6.982760959201414,-1.3124446676235095,-1.5001064599162248,-7.631227231670373,-3.0303030303039122
